ISA,B,N,Type,cpu_mean,var
AVX3_ZEN4,128,32,i8,44932,0.00104548
AVX3_ZEN4,128,64,i8,44744,0.00156986
AVX3_ZEN4,64,32,i16,44932,0.00104384
AVX3_ZEN4,64,64,i16,45026,0.00104493
AVX3_ZEN4,64,128,i16,89112,0.00105485
AVX3_ZEN4,64,256,i16,89159,0.00157853
AVX3_ZEN4,64,512,i16,89488,0.00157563
AVX3_ZEN4,64,1024,i16,89488,0.00105485
AVX3_ZEN4,64,2048,i16,91086,0.0015544
AVX3_ZEN4,64,4096,i16,89441,0.00105097
AVX3_ZEN4,64,8192,i16,162244,0.00144739
AVX3_ZEN4,64,16384,i16,162526,0.00174115
AVX3_ZEN4,32,32,i32,44932,0.00131172
AVX3_ZEN4,32,64,i32,88595,0.00106101
AVX3_ZEN4,32,128,i32,88595,0.00106157
AVX3_ZEN4,32,256,i32,88642,0.00106101
AVX3_ZEN4,32,512,i32,89488,0.00104877
AVX3_ZEN4,32,1024,i32,88830,0.00158562
AVX3_ZEN4,32,2048,i32,149554,0.000941915
AVX3_ZEN4,32,4096,i32,149695,0.000941915
AVX3_ZEN4,32,8192,i32,150471,0.00186858
AVX3_ZEN4,32,16384,i32,158390,0.00119083
AVX3_ZEN4,32,32768,i32,161257,0.000582581
AVX3_ZEN4,32,65536,i32,240147,0.000441375
AVX3_ZEN4,32,131072,i32,249100,0.00103725
AVX3_ZEN4,32,262144,i32,271143,0.0017319
AVX3_ZEN4,32,524288,i32,301176,0.011577
AVX3_ZEN4,32,1048576,i32,332243,0.00599743
AVX3_ZEN4,32,2097152,i32,494205,0.0226106
AVX3_ZEN4,32,4194304,i32,571544,0.0363169
AVX3_ZEN4,32,8388608,i32,713319,0.0164706
AVX3_ZEN4,32,16777216,i32,761188,0.0260329
AVX3_ZEN4,32,33554432,i32,864894,0.0244328
AVX3_ZEN4,32,67108864,i32,1.18412e+06,0.0297735
AVX3_ZEN4,16,32,i64,88548,0.00159067
AVX3_ZEN4,16,64,i64,91650,0.00102459
AVX3_ZEN4,16,128,i64,88642,0.00158983
AVX3_ZEN4,16,256,i64,89488,0.00105097
AVX3_ZEN4,16,512,i64,150776,0.00140757
AVX3_ZEN4,16,1024,i64,153126,0.00153657
AVX3_ZEN4,16,2048,i64,149507,0.00110028
AVX3_ZEN4,16,4096,i64,151387,0.00171046
AVX3_ZEN4,16,8192,i64,233966,0.000703164
AVX3_ZEN4,16,16384,i64,238337,0.0008867
AVX3_ZEN4,16,32768,i64,244776,0.000864803
AVX3_ZEN4,16,65536,i64,256291,0.00110183
AVX3_ZEN4,16,131072,i64,383450,0.0015022
AVX3_ZEN4,16,262144,i64,437476,0.00995079
AVX3_ZEN4,16,524288,i64,466898,0.0151779
AVX3_ZEN4,16,1048576,i64,543649,0.0270925
AVX3_ZEN4,16,2097152,i64,688691,0.0476408
AVX3_ZEN4,16,4194304,i64,647801,0.0383402
AVX3_ZEN4,16,8388608,i64,894857,0.0272639
AVX3_ZEN4,16,16777216,i64,1.1073e+06,0.0201442
AVX3_ZEN4,16,33554432,i64,1.5819e+06,0.0197488
AVX3_ZEN4,16,67108864,i64,1.70394e+06,0.0253705
AVX3_ZEN4,128,32,u8,44838,0.00104603
AVX3_ZEN4,128,64,u8,44885,0.00104548
AVX3_ZEN4,128,128,u8,44885,0.00104548
AVX3_ZEN4,64,32,u16,44838,0.000523013
AVX3_ZEN4,64,64,u16,44838,0.000523013
AVX3_ZEN4,64,128,u16,88454,0.00159151
AVX3_ZEN4,64,256,u16,88548,0.00106101
AVX3_ZEN4,64,512,u16,88501,0.00159236
AVX3_ZEN4,64,1024,u16,88501,0.00106185
AVX3_ZEN4,64,2048,u16,88924,0.00105708
AVX3_ZEN4,64,4096,u16,88877,0.00105764
AVX3_ZEN4,64,8192,u16,149460,0.000941915
AVX3_ZEN4,64,16384,u16,150259,0.00125196
AVX3_ZEN4,64,32768,u16,165910,0.000714671
AVX3_ZEN4,32,32,u32,44838,0.00104657
AVX3_ZEN4,32,64,u32,88360,0.00185846
AVX3_ZEN4,32,128,u32,90992,0.0015544
AVX3_ZEN4,32,256,u32,88407,0.00132732
AVX3_ZEN4,32,512,u32,89347,0.00105097
