ISA,B,N,Type,cpu_mean,var,mask
STL,1,32,i8,158862,0.00124818,60
STL,1,64,i8,185807,0.00195556,14
STL,1,32,i16,144837,0.0110294,62
STL,1,64,i16,166980,0.00176835,4
STL,1,128,i16,194106,0.0101208,160
STL,1,256,i16,439973,0.162008,496
STL,1,512,i16,506649,0.0463341,508
STL,1,1024,i16,660479,0.0258026,775
STL,1,2048,i16,905619,0.019517,703
STL,1,4096,i16,1.03232e+06,0.0182656,5125
STL,1,8192,i16,1.17371e+06,0.0151332,573
STL,1,16384,i16,1.31611e+06,0.0167592,10944
STL,1,32,i32,135795,0.0156782,57
STL,1,64,i32,165924,0.00198472,7
STL,1,128,i32,187341,0.015592,170
STL,1,256,i32,210375,0.101381,495
STL,1,512,i32,495875,0.0297234,480
STL,1,1024,i32,661634,0.0322866,779
STL,1,2048,i32,864914,0.0213147,738
STL,1,4096,i32,993383,0.0202861,5268
STL,1,8192,i32,1.18774e+06,0.0137454,1319
STL,1,16384,i32,1.48286e+06,0.0104464,9405
STL,1,32768,i32,1.72993e+06,0.0135299,60610
STL,1,65536,i32,1.95089e+06,0.0157834,53279
STL,1,131072,i32,2.13634e+06,0.00959657,29776
STL,1,262144,i32,2.51422e+06,0.0160329,103448
STL,1,524288,i32,3.11855e+06,0.0179428,174139
STL,1,1048576,i32,3.88869e+06,0.016296,992623
STL,1,2097152,i32,4.83839e+06,0.0247443,2063647
STL,1,4194304,i32,6.52771e+06,0.0720691,902014
STL,1,8388608,i32,2.28982e+07,0.0191142,2155784
STL,1,16777216,i32,3.60148e+07,0.0167598,14656620
STL,1,33554432,i32,5.02507e+07,0.0135722,7900727
STL,1,67108864,i32,5.96423e+07,0.010817,64730144
STL,1,32,i64,137429,0.00168797,57
STL,1,64,i64,166881,0.00147827,7
STL,1,128,i64,188232,0.00745352,170
STL,1,256,i64,665181,0.437034,495
STL,1,512,i64,527637,0.0563363,480
STL,1,1024,i64,700953,0.0268567,779
STL,1,2048,i64,877173,0.0235114,738
STL,1,4096,i64,1.02351e+06,0.0281607,5268
STL,1,8192,i64,1.32718e+06,0.0214375,1319
STL,1,16384,i64,1.61068e+06,0.0169272,9405
STL,1,32768,i64,1.83325e+06,0.0151968,60610
STL,1,65536,i64,2.06824e+06,0.0233054,53272
STL,1,131072,i64,2.29527e+06,0.0248705,29777
STL,1,262144,i64,2.92834e+06,0.0205032,103448
STL,1,524288,i64,3.27268e+06,0.0155523,174138
STL,1,1048576,i64,4.03133e+06,0.0181921,992616
STL,1,2097152,i64,6.31287e+06,0.0310544,2063644
STL,1,4194304,i64,2.2026e+07,0.0294452,902008
STL,1,8388608,i64,3.72168e+07,0.0108317,2155779
STL,1,16777216,i64,5.13213e+07,0.00798371,14656602
