N,Structure,ISA,Type,B,cpu_mean,other
100,StdLowerbound,STL,uint8_t,0,2229,0.00179412
200,StdLowerbound,STL,uint8_t,0,3071,0.00625
100,StdLowerbound,STL,uint16_t,0,2162,0.00174064
1000,StdLowerbound,STL,uint16_t,0,2812,0.000888731
10000,StdLowerbound,STL,uint16_t,0,6486,0.0111695
50000,StdLowerbound,STL,uint16_t,0,7664,0.00143734
100,StdLowerbound,STL,uint32_t,0,2230,0.00112108
1000,StdLowerbound,STL,uint32_t,0,2732,0.000732332
10000,StdLowerbound,STL,uint32_t,0,6109,0.00196786
100000,StdLowerbound,STL,uint32_t,0,8855,0.00152654
1000000,StdLowerbound,STL,uint32_t,0,10921,0.000228864
10000000,StdLowerbound,STL,uint32_t,0,21276,0.0134031
100,StdLowerbound,STL,uint64_t,0,2224,0.00134228
1000,StdLowerbound,STL,uint64_t,0,2730,0.000732601
10000,StdLowerbound,STL,uint64_t,0,6101,0.00172216
100000,StdLowerbound,STL,uint64_t,0,8820,0.00113372
1000000,StdLowerbound,STL,uint64_t,0,11041,0.000815439
10000000,StdLowerbound,STL,uint64_t,0,21349,0.00383698
100,StdLowerbound,STL,int8_t,0,2229,0.000896861
200,StdLowerbound,STL,int8_t,0,2897,0.0152407
100,StdLowerbound,STL,int16_t,0,2231,0.00179453
1000,StdLowerbound,STL,int16_t,0,2735,0.00109769
10000,StdLowerbound,STL,int16_t,0,6087,0.00131287
50000,StdLowerbound,STL,int16_t,0,7648,0.00169668
100,StdLowerbound,STL,int32_t,0,2228,0.00134409
1000,StdLowerbound,STL,int32_t,0,2732,0.000732601
10000,StdLowerbound,STL,int32_t,0,6097,0.00147614
100000,StdLowerbound,STL,int32_t,0,8842,0.00101862
1000000,StdLowerbound,STL,int32_t,0,11025,0.000362582
10000000,StdLowerbound,STL,int32_t,0,21187,0.00669401
100,StdLowerbound,STL,int64_t,0,2231,0.00134529
1000,StdLowerbound,STL,int64_t,0,2726,0.000732332
10000,StdLowerbound,STL,int64_t,0,6489,0.00146503
100000,StdLowerbound,STL,int64_t,0,8804,0.00119156
1000000,StdLowerbound,STL,int64_t,0,10956,0.00182782
10000000,StdLowerbound,STL,int64_t,0,21178,0.00183893
100,StaticBTree,N_NEON,uint8_t,32,407.667,0.000816327
200,StaticBTree,N_NEON,uint8_t,32,408.667,0.00163265
100,StaticBTree,N_NEON,uint16_t,16,432.333,0.0015456
1000,StaticBTree,N_NEON,uint16_t,16,733.5,0.00136799
10000,StaticBTree,N_NEON,uint16_t,16,1093,0.00183655
50000,StaticBTree,N_NEON,uint16_t,16,1095,0.000914913
100,StaticBTree,N_NEON,uint32_t,8,733,0.000683995
1000,StaticBTree,N_NEON,uint32_t,8,1089,0.00137678
10000,StaticBTree,N_NEON,uint32_t,8,1525,0.00164745
100000,StaticBTree,N_NEON,uint32_t,8,2162,0.00185099
1000000,StaticBTree,N_NEON,uint32_t,8,2984,0.000670354
