ISA,B,N,Type,cpu_mean,var
NEON,32,100,i8,7088,6.99888e-05
NEON,16,100,i16,6525,0
NEON,16,1000,i16,8943,0.000279533
NEON,16,10000,i16,12602,3.96778e-05
NEON,8,100,i32,8102,0
NEON,8,1000,i32,11288,4.42968e-05
NEON,8,10000,i32,16055,0.000186916
NEON,8,100000,i32,22616,0.00188667
NEON,8,1000000,i32,31146,0.00142607
NEON,8,10000000,i32,47884,0.00542582
NEON,4,100,i64,6539,0.00030581
NEON,4,1000,i64,12660,0.000237098
NEON,4,10000,i64,16506,0.000302847
NEON,4,100000,i64,27841,0.00111445
NEON,4,1000000,i64,44122,0.00140657
NEON,4,10000000,i64,104342,0.0169378
NEON,32,100,u8,7201,0
NEON,16,100,u16,6525,0
NEON,16,1000,u16,8970,0.00022299
NEON,16,10000,u16,12603,7.93525e-05
NEON,8,100,u32,8663,0.000123426
NEON,8,1000,u32,11557,4.38423e-05
NEON,8,10000,u32,16053,0.000124595
NEON,8,100000,u32,22531,0.0019791
NEON,8,1000000,u32,31231,0.00166798
NEON,8,10000000,u32,47909,0.00269157
NEON,4,100,u64,6541,0.000305857
NEON,4,1000,u64,12628,0.000158378
NEON,4,10000,u64,16502,0.000363769
NEON,4,100000,u64,27760,0.000792008
NEON,4,1000000,u64,44523,0.00192275
NEON,4,10000000,u64,106921,0.0115716
NEON,8,100,f32,8732,0.000229332
NEON,8,1000,f32,11688,0.000767984
NEON,8,10000,f32,16721,0.000119624
NEON,8,100000,f32,23326,0.00118231
NEON,8,1000000,f32,31703,0.00143674
NEON,8,10000000,f32,47697,0.00431332
NEON,4,100,f64,6720,0.000297619
NEON,4,1000,f64,13138,0.000228432
NEON,4,10000,f64,17159,0.000262299
NEON,4,100000,f64,29025,0.0016723
NEON,4,1000000,f64,45069,0.00175217
NEON,4,10000000,f64,109965,0.0101984
NEON,16,100,i8,3151,0
NEON,8,100,i16,5459,0.000182815
NEON,8,1000,i16,8055,0.00303162
NEON,8,10000,i16,10745,0.00018357
NEON,4,100,i32,4703,0.00371747
NEON,4,1000,i32,9250,0.00107945
NEON,4,10000,i32,11283,0.000709126
NEON,4,100000,i32,19781,0.001773
NEON,4,1000000,i32,31576,0.00117339
NEON,4,10000000,i32,58486,0.00457575
NEON,2,100,i64,8224,0.000243191
NEON,2,1000,i64,12706,0.00118259
NEON,2,10000,i64,19561,0.00104916
NEON,2,100000,i64,30103,0.00131258
NEON,2,1000000,i64,61122,0.00379631
NEON,2,10000000,i64,199240,0.00879471
NEON,16,100,u8,3151,0
NEON,8,100,u16,5458,9.1617e-05
NEON,8,1000,u16,8064,0.00166945
NEON,8,10000,u16,10745,0.000277354
NEON,4,100,u32,4705,0.000956226
NEON,4,1000,u32,9263,0.00113397
NEON,4,10000,u32,11294,0.000443577
NEON,4,100000,u32,19791,0.00182315
NEON,4,1000000,u32,31537,0.00114246
NEON,4,10000000,u32,59501,0.00472479
NEON,2,100,u64,8222,0.000243161
NEON,2,1000,u64,12702,0.000708773
NEON,2,10000,u64,19504,0.0010756
NEON,2,100000,u64,30081,0.000798111
NEON,2,1000000,u64,58008,0.00390261
NEON,2,10000000,u64,198642,0.00472352
NEON,4,100,f32,4845,0.00691434
NEON,4,1000,f32,9727,0.000513875
NEON,4,10000,f32,11697,0.000513611
NEON,4,100000,f32,20612,0.000631252
NEON,4,1000000,f32,32504,0.000707877
NEON,4,10000000,f32,58809,0.00470005
NEON,2,100,f64,8626,0.00162517
NEON,2,1000,f64,13265,0.00067881
NEON,2,10000,f64,20495,0.000439324
NEON,2,100000,f64,31346,0.00150114
NEON,2,1000000,f64,59746,0.00347642
NEON,2,10000000,f64,199069,0.00446876
NEON_WITHOUT_AES,32,100,i8,6709,7.46102e-05
NEON_WITHOUT_AES,16,100,i16,6051,8.2631e-05
NEON_WITHOUT_AES,16,1000,i16,8825,0.000113314
NEON_WITHOUT_AES,16,10000,i16,12462,8.01989e-05
NEON_WITHOUT_AES,8,100,i32,7947,0.00152207
NEON_WITHOUT_AES,8,1000,i32,11564,0.00103815
NEON_WITHOUT_AES,8,10000,i32,14842,0.00154987
NEON_WITHOUT_AES,8,100000,i32,20777,0.000819988
NEON_WITHOUT_AES,8,1000000,i32,31281,0.000816157
NEON_WITHOUT_AES,8,10000000,i32,47085,0.00177945
